place	w1_order	w1_peak_date	w1_peak_daily_deaths	w1_total_deaths	w2_order	w2_peak_date	w2_peak_daily_deaths	w2_total_deaths	pct_deaths_w2	metric_case	tier_case	metric_death	tier_death
Dadra and Nagar Haveli	1	2020-07-07	1	2	1	2021-04-15	2	2	0.5	NA	NA	NA	NA
Gujarat	2	2020-07-21	34	2955	4	2021-04-29	180	5433	0.6477110157367668	5.160504993245131	> 5	4.185932449700584	4 - 5
Tamil Nadu	3	2020-07-22	518	11997	36	2021-05-30	493	11819	0.49626301645952303	3.5799672514972296	3 - 4	2.25574084389901	2 - 3
Telangana	4	2020-07-31	14	1436	10	2021-05-07	87	1667	0.5372220431840155	2.2201498251745115	2 - 3	2.6614875389408104	2 - 3
Andhra Pradesh	5	2020-08-08	97	7080	26	2021-05-22	118	3768	0.3473451327433628	2.0936568221353036	2 - 3	1.2232248665169299	1 - 2
Jharkhand	6	2020-08-09	17	1074	6	2021-05-01	169	3909	0.7844671884406984	4.270491492631269	4 - 5	8.367827494387303	> 5
Andaman and Nicobar Islands	7	2020-08-16	4	62	33	2021-05-28	4	53	0.4608695652173913	NA	NA	NA	NA
Bihar	8	2020-08-16	22	1488	20	2021-05-18	111	3639	0.7097717963721475	4.00340910113067	4 - 5	5.6187367800003765	> 5
Punjab	9	2020-09-02	106	5630	23	2021-05-18	231	8856	0.6113488885820793	5.201024809407416	> 5	3.6157917535936743	3 - 4
Pondicherry	10	2020-09-04	20	653	29	2021-05-23	34	880	0.5740378343118069	NA	NA	NA	NA
Chhattisgarh	11	2020-09-09	70	15060	2	2021-04-28	279	37108	0.7113172826253642	4.953759403809531	4 - 5	5.66492162192352	> 5
Sikkim	12	2020-09-11	4	135	14	2021-05-13	9	118	0.466403162055336	3.494746561139838	3 - 4	2.009553478712357	2 - 3
Assam	13	2020-09-12	23	1085	16	2021-05-17	92	2278	0.6773713945881653	2.0873861572820616	2 - 3	4.853819303093034	4 - 5
Tripura	14	2020-09-13	12	387	35	2021-05-29	13	122	0.23968565815324164	1.2621540487717324	1 - 2	0.7247699775411142	< 1
Goa	15	2020-09-14	14	778	12	2021-05-11	75	1871	0.7063042657606644	4.341951710786539	4 - 5	5.528986377723855	> 5
India	16	2020-09-15	1281	144194	19	2021-05-18	4529	176233	0.5499942264540754	NA	NA	NA	NA
Maharashtra	17	2020-09-15	515	46363	28	2021-05-23	1320	43855	0.4861003347447294	4.3265868218309596	4 - 5	2.1105566863160763	2 - 3
Uttar Pradesh	18	2020-09-15	113	8316	11	2021-05-07	372	11798	0.5865566272248185	4.248879202429048	4 - 5	3.254664486654152	3 - 4
Karnataka	19	2020-09-18	179	12184	27	2021-05-23	624	16827	0.5800213712040261	4.066192952796537	4 - 5	3.17465729786441	3 - 4
Jammu and Kashmir	20	2020-09-21	23	1895	17	2021-05-17	73	1958	0.5081754477030885	NA	NA	NA	NA
Chandigarh	21	2020-09-23	10	340	8	2021-05-05	14	408	0.5454545454545454	4.276096479937322	4 - 5	2.7588785046728974	2 - 3
Madhya Pradesh	22	2020-09-24	45	3378	3	2021-04-28	105	4238	0.5564600840336135	4.864797482561303	4 - 5	2.875018959084228	2 - 3
Meghalaya	23	2020-10-05	5	147	30	2021-05-24	26	430	0.7452339688041595	3.5845430126514324	3 - 4	6.725157352660691	> 5
Odisha	24	2020-10-07	18	1950	32	2021-05-26	35	844	0.3020758768790265	2.9646754918531175	2 - 3	0.9950826743350109	< 1
Arunachal Pradesh	25	2020-10-13	4	56	15	2021-05-14	5	59	0.5130434782608696	NA	NA	NA	NA
West Bengal	26	2020-10-14	64	9769	25	2021-05-20	162	5311	0.3521883289124668	3.2879979655277856	3 - 4	1.2486283309743462	1 - 2
Nagaland	27	2020-10-17	4	82	31	2021-05-25	18	275	0.7703081232492998	1.8154339651671587	1 - 2	7.184579439252337	> 5
Uttarakhand	28	2020-10-17	95	6632	18	2021-05-17	223	19088	0.7421461897356143	5.6296889501090215	> 5	6.613104392354362	> 5
Mizoram	29	2020-10-28	1	9	37	2021-05-31	4	31	0.775	4.12577155112289	4 - 5	7.919003115264798	> 5
Delhi	30	2020-11-18	131	9238	7	2021-05-03	448	13348	0.5909855662799964	NA	NA	NA	NA
Himachal Pradesh	31	2020-11-23	22	972	21	2021-05-18	78	2148	0.6884615384615385	5.2633321485449365	> 5	5.0806507442021465	> 5
Haryana	32	2020-11-25	42	2951	9	2021-05-05	181	5264	0.6407790626902009	4.268951348385317	4 - 5	4.0762143394515915	4 - 5
Ladakh	33	2020-11-26	5	129	22	2021-05-18	5	59	0.31382978723404253	NA	NA	NA	NA
Manipur	34	2020-11-29	10	373	24	2021-05-19	23	434	0.5377942998760843	1.7218641221839783	1 - 2	2.675051990679261	2 - 3
Rajasthan	35	2020-11-30	20	2502	13	2021-05-11	169	5604	0.691339748334567	4.655346655266344	4 - 5	5.135098691439789	> 5
Kerala	36	2020-12-09	35	3951	34	2021-05-29	198	4845	0.550818553888131	3.5206559608943566	3 - 4	2.819279160368722	2 - 3
