date	value	lower_ci	upper_ci	incidence	scenario
2021-03-15	11388779	10653370	12153894	NA	Informed
2021-03-16	11397570	10548945	12283612	8791	Informed
2021-03-17	11404039	10461210	12402072	6469	Informed
2021-03-18	11410255	10374897	12502488	6216	Informed
2021-03-19	11416755	10304953	12600293	6500	Informed
2021-03-20	11422101	10233499	12688398	5346	Informed
2021-03-21	11427662	10170021	12774056	5561	Informed
2021-03-22	11434624	10113558	12857477	6962	Informed
2021-03-23	11441903	10058627	12938129	7279	Informed
2021-03-24	11449645	10011387	13011924	7742	Informed
2021-03-25	11458083	9962749	13094952	8438	Informed
2021-03-26	11467205	9917020	13168316	9122	Informed
2021-03-27	11474992	9871685	13231539	7787	Informed
2021-03-28	11481609	9828344	13303129	6617	Informed
2021-03-29	11486920	9785944	13368470	5311	Informed
2021-03-30	11491498	9741712	13425036	4578	Informed
2021-03-31	11496147	9702998	13487374	4649	Informed
2021-04-01	11499971	9666403	13543397	3824	Informed
2021-04-02	11503455	9624610	13595460	3484	Informed
2021-04-03	11507164	9591577	13649655	3709	Informed
2021-04-04	11510353	9556982	13704400	3189	Informed
2021-04-05	11514025	9523856	13760895	3672	Informed
2021-04-06	11517136	9488081	13811567	3111	Informed
2021-04-07	11519642	9443588	13859751	2506	Informed
2021-04-08	11522473	9424643	13904246	2831	Informed
2021-04-09	11525236	9397432	13950929	2763	Informed
2021-04-10	11527535	9358620	14000048	2299	Informed
2021-04-11	11529274	9332441	14026136	1739	Informed
2021-04-12	11530697	9300702	14079438	1423	Informed
2021-04-13	11533227	9279247	14128334	2530	Informed
2021-04-14	11535159	9249580	14167902	1932	Informed
2021-04-15	11537529	9222956	14218209	2370	Informed
2021-04-16	11538887	9190831	14257710	1358	Informed
2021-04-17	11541645	9164927	14291683	2758	Informed
2021-04-18	11543858	9135259	14337815	2213	Informed
2021-04-19	11546068	9115075	14368451	2210	Informed
2021-04-20	11547218	9085473	14408388	1150	Informed
2021-04-21	11548501	9063066	14446274	1283	Informed
2021-04-22	11550090	9038490	14477722	1589	Informed
2021-04-23	11552082	9023078	14514542	1992	Informed
2021-04-24	11553644	8995279	14554611	1562	Informed
2021-04-25	11555533	8972741	14585379	1889	Informed
2021-04-26	11557740	8950991	14626370	2207	Informed
2021-04-27	11559460	8914605	14658393	1720	Informed
2021-04-28	11561425	8901616	14684640	1965	Informed
2021-04-29	11562882	8885737	14729919	1457	Informed
2021-04-30	11564288	8864372	14766368	1406	Informed
2021-05-01	11565719	8838441	14797847	1431	Informed
2021-05-02	11566067	8811863	14832752	348	Informed
2021-05-03	11566334	8790021	14852121	267	Informed
2021-05-04	11567400	8766210	14900391	1066	Informed
2021-05-05	11569065	8749392	14923030	1665	Informed
2021-05-06	11571117	8729478	14958375	2052	Informed
2021-05-07	11572624	8706083	14989633	1507	Informed
2021-05-08	11573627	8686697	15008792	1003	Informed
2021-05-09	11574607	8665009	15044539	980	Informed
2021-05-10	11575719	8643173	15077325	1112	Informed
2021-05-11	11577319	8618191	15120097	1600	Informed
2021-05-12	11578817	8610558	15141143	1498	Informed
