date	value	lower_ci	upper_ci	incidence	scenario
2021-04-15	14176219	13209788	15179141	NA	Informed
2021-04-16	14292030	13152832	15487508	115811	Informed
2021-04-17	14385163	13088075	15751055	93133	Informed
2021-04-18	14479309	13036267	16020345	94146	Informed
2021-04-19	14567839	12985310	16270964	88530	Informed
2021-04-20	14651974	12938932	16514521	84135	Informed
2021-04-21	14738290	12892357	16748832	86316	Informed
2021-04-22	14841808	12867491	17012527	103518	Informed
2021-04-23	14962244	12861220	17282049	120436	Informed
2021-04-24	15099830	12870187	17602661	137586	Informed
2021-04-25	15252265	12888619	17931393	152435	Informed
2021-04-26	15406602	12913293	18269952	154337	Informed
2021-04-27	15551619	12927246	18595378	145017	Informed
2021-04-28	15672471	12914685	18882893	120852	Informed
2021-04-29	15777813	12901218	19144614	105342	Informed
2021-04-30	15866283	12878055	19393661	88470	Informed
2021-05-01	15950386	12847069	19628515	84103	Informed
2021-05-02	16031842	12820440	19854537	81456	Informed
2021-05-03	16113514	12799957	20075796	81672	Informed
2021-05-04	16191838	12767093	20297749	78324	Informed
2021-05-05	16275462	12745778	20527225	83624	Informed
2021-05-06	16355862	12732589	20749067	80400	Informed
2021-05-07	16428426	12704938	20959247	72564	Informed
2021-05-08	16497854	12681712	21144435	69428	Informed
2021-05-09	16562457	12658383	21320150	64603	Informed
2021-05-10	16623614	12629072	21502110	61157	Informed
2021-05-11	16686940	12603999	21666449	63326	Informed
2021-05-12	16748850	12587944	21861015	61910	Informed
2021-05-13	16811194	12571506	22023152	62344	Informed
2021-05-14	16872585	12552777	22197179	61391	Informed
2021-05-15	16932773	12539741	22368803	60188	Informed
2021-05-16	16987705	12526763	22534892	54932	Informed
2021-05-17	17041548	12512203	22670532	53843	Informed
2021-05-18	17093149	12494369	22813851	51601	Informed
2021-05-19	17143084	12482303	22959640	49935	Informed
2021-05-20	17192035	12470004	23089621	48951	Informed
2021-05-21	17239674	12461012	23214522	47639	Informed
2021-05-22	17284043	12451849	23334475	44369	Informed
2021-05-23	17329925	12441385	23488494	45882	Informed
2021-05-24	17378775	12443997	23609677	48850	Informed
2021-05-25	17430144	12440278	23735620	51369	Informed
2021-05-26	17486876	12438673	23886873	56732	Informed
2021-05-27	17544504	12438975	24041477	57628	Informed
2021-05-28	17603398	12430775	24190822	58894	Informed
2021-05-29	17660166	12432850	24327104	56768	Informed
2021-05-30	17713504	12443349	24474419	53338	Informed
2021-05-31	17759847	12432031	24609799	46343	Informed
2021-06-01	17806485	12443352	24737606	46638	Informed
2021-06-02	17851411	12445432	24862911	44926	Informed
2021-06-03	17892431	12457900	24999160	41020	Informed
2021-06-04	17931944	12452254	25087257	39513	Informed
2021-06-05	17970892	12454815	25196690	38948	Informed
2021-06-06	18006596	12475716	25300364	35704	Informed
2021-06-07	18044025	12470464	25394688	37429	Informed
2021-06-08	18081945	12466008	25500059	37920	Informed
2021-06-09	18120496	12471332	25616443	38551	Informed
2021-06-10	18160550	12490168	25721662	40054	Informed
2021-06-11	18201650	12489093	25834585	41100	Informed
2021-06-12	18242698	12492923	25951518	41048	Informed
