date	value	lower_ci	upper_ci	incidence	scenario
2021-04-15	14176643	13208512	15180203	NA	Informed
2021-04-16	14299607	13160123	15500638	122964	Informed
2021-04-17	14424856	13116142	15808595	125249	Informed
2021-04-18	14553058	13090438	16116802	128202	Informed
2021-04-19	14683975	13075347	16428634	130917	Informed
2021-04-20	14818068	13071175	16740877	134093	Informed
2021-04-21	14953846	13063155	17052909	135778	Informed
2021-04-22	15092983	13055540	17382594	139137	Informed
2021-04-23	15235103	13060579	17713015	142120	Informed
2021-04-24	15379996	13059202	18044018	144893	Informed
2021-04-25	15527531	13075898	18388548	147535	Informed
2021-04-26	15677241	13076088	18741480	149710	Informed
2021-04-27	15829842	13083888	19091528	152601	Informed
2021-04-28	15985151	13109500	19446541	155309	Informed
2021-04-29	16142080	13111641	19816774	156929	Informed
2021-04-30	16302250	13131354	20206732	160170	Informed
2021-05-01	16465934	13147638	20598723	163684	Informed
2021-05-02	16632220	13164518	20982641	166286	Informed
2021-05-03	16802125	13194322	21372125	169905	Informed
2021-05-04	16973553	13214879	21789751	171428	Informed
2021-05-05	17147437	13235444	22207302	173884	Informed
2021-05-06	17325411	13247853	22619795	177974	Informed
2021-05-07	17505927	13281694	23056375	180516	Informed
2021-05-08	17688730	13305110	23513060	182803	Informed
2021-05-09	17874693	13334167	23964889	185963	Informed
2021-05-10	18063464	13358589	24417788	188771	Informed
2021-05-11	18255328	13380597	24897914	191864	Informed
2021-05-12	18449733	13414140	25377009	194405	Informed
2021-05-13	18647676	13438719	25881195	197943	Informed
2021-05-14	18847140	13459387	26366624	199464	Informed
2021-05-15	19050961	13484981	26884648	203821	Informed
2021-05-16	19256708	13512027	27384506	205747	Informed
2021-05-17	19465963	13536317	27941125	209255	Informed
2021-05-18	19678484	13555462	28462284	212521	Informed
2021-05-19	19893806	13588066	29021398	215322	Informed
2021-05-20	20112179	13630552	29581930	218373	Informed
2021-05-21	20334753	13660896	30159994	222574	Informed
2021-05-22	20558977	13699553	30733145	224224	Informed
2021-05-23	20786981	13728471	31338093	228004	Informed
2021-05-24	21018321	13763835	31945853	231340	Informed
2021-05-25	21252817	13792815	32565317	234496	Informed
2021-05-26	21491948	13828562	33199728	239131	Informed
2021-05-27	21733747	13856945	33820206	241799	Informed
2021-05-28	21978672	13895215	34483839	244925	Informed
2021-05-29	22226555	13921895	35157937	247883	Informed
2021-05-30	22479641	13957966	35836836	253086	Informed
2021-05-31	22735774	13987633	36549611	256133	Informed
2021-06-01	22996651	14030207	37260669	260877	Informed
2021-06-02	23259642	14068269	37964519	262991	Informed
2021-06-03	23527774	14111436	38693620	268132	Informed
2021-06-04	23799248	14145296	39464319	271474	Informed
2021-06-05	24074918	14173440	40265576	275670	Informed
2021-06-06	24355676	14208747	41047979	280758	Informed
2021-06-07	24639948	14251831	41859410	284272	Informed
2021-06-08	24929706	14296803	42726864	289758	Informed
2021-06-09	25223243	14325237	43571366	293537	Informed
2021-06-10	25522967	14368223	44482920	299724	Informed
2021-06-11	25828258	14412950	45346143	305291	Informed
2021-06-12	26137133	14451072	46291480	308875	Informed
2021-06-13	26452942	14489915	47236411	315809	Informed
2021-06-14	26771725	14516373	48274491	318783	Informed
2021-06-15	27096468	14572078	49200349	324743	Informed
2021-06-16	27426414	14606276	50234259	329946	Informed
2021-06-17	27760858	14659667	51253638	334444	Informed
2021-06-18	28101076	14707076	52335795	340218	Informed
2021-06-19	28446577	14741559	53422538	345501	Informed
2021-06-20	28798380	14795227	54510063	351803	Informed
2021-06-21	29155844	14829871	55693958	357464	Informed
2021-06-22	29519588	14884609	56878344	363744	Informed
2021-06-23	29888710	14927333	58029029	369122	Informed
2021-06-24	30263514	14962308	59311541	374804	Informed
2021-06-25	30642249	15033485	60568051	378735	Informed
2021-06-26	31029475	15063842	61765185	387226	Informed
2021-06-27	31423662	15125571	63129903	394187	Informed
2021-06-28	31822429	15186856	64532272	398767	Informed
2021-06-29	32227594	15216548	65825160	405165	Informed
2021-06-30	32638664	15269032	67312275	411070	Informed
2021-07-01	33056956	15331452	68715170	418292	Informed
2021-07-02	33481857	15359274	70219340	424901	Informed
2021-07-03	33912257	15412569	71704224	430400	Informed
2021-07-04	34348785	15475347	73295540	436528	Informed
2021-07-05	34793121	15529584	74902340	444336	Informed
2021-07-06	35244196	15578230	76459433	451075	Informed
2021-07-07	35703066	15620291	78196697	458870	Informed
2021-07-08	36167694	15661860	79813244	464628	Informed
2021-07-09	36639872	15711367	81584218	472178	Informed
2021-07-10	37118728	15779180	83429830	478856	Informed
2021-07-11	37603529	15826620	85187073	484801	Informed
2021-07-12	38096190	15870736	87078413	492661	Informed
2021-07-13	38598378	15925785	89000740	502188	Informed
2021-07-14	39107418	15976862	90879459	509040	Informed
2021-07-15	39625152	16023761	92967058	517734	Informed
2021-07-16	40150899	16091928	94986785	525747	Informed
2021-07-17	40682328	16129111	97037810	531429	Informed
2021-07-18	41222441	16195960	99147317	540113	Informed
2021-07-19	41770879	16255853	101307905	548438	Informed
2021-07-20	42326444	16291147	103635979	555565	Informed
2021-07-21	42890754	16351570	105813736	564310	Informed
2021-07-22	43463225	16408983	108114985	572471	Informed
2021-07-23	44042775	16451176	110539726	579550	Informed
2021-07-24	44630384	16509630	112926650	587609	Informed
2021-07-25	45229835	16556952	115355468	599451	Informed
2021-07-26	45836103	16608946	117785609	606268	Informed
2021-07-27	46451164	16672932	120364814	615061	Informed
2021-07-28	47073732	16705613	123011267	622568	Informed
2021-07-29	47705668	16778606	125570560	631936	Informed
2021-07-30	48347805	16843703	128242430	642137	Informed
2021-07-31	48996898	16911494	130954619	649093	Informed
2021-08-01	49653420	16955615	133756814	656522	Informed
2021-08-02	50321544	17002979	136650681	668124	Informed
2021-08-03	50998691	17064198	139577089	677147	Informed
2021-08-04	51684031	17125365	142500953	685340	Informed
2021-08-05	52377770	17179114	145412254	693739	Informed
2021-08-06	53082490	17237795	148419248	704720	Informed
2021-08-07	53794883	17312720	151541041	712393	Informed
2021-08-08	54514852	17363573	154804776	719969	Informed
2021-08-09	55246472	17398266	157991766	731620	Informed
2021-08-10	55988245	17457748	161319232	741773	Informed
2021-08-11	56738677	17496308	164701321	750432	Informed
