date	value	lower_ci	upper_ci	incidence	scenario
2021-04-30	19140222	17937974	20369691	NA	Informed
2021-05-01	19488688	18053032	20974390	348466	Informed
2021-05-02	19842143	18167320	21587704	353455	Informed
2021-05-03	20198089	18297317	22186210	355946	Informed
2021-05-04	20558330	18427493	22804663	360241	Informed
2021-05-05	20921551	18552222	23432750	363221	Informed
2021-05-06	21286541	18682632	24053311	364990	Informed
2021-05-07	21652953	18825992	24670474	366412	Informed
2021-05-08	22020228	18958927	25301054	367275	Informed
2021-05-09	22387428	19101386	25933019	367200	Informed
2021-05-10	22755455	19236825	26559498	368027	Informed
2021-05-11	23121095	19364825	27201806	365640	Informed
2021-05-12	23486105	19495553	27843483	365010	Informed
2021-05-13	23848392	19630656	28467312	362287	Informed
2021-05-14	24210575	19754545	29095009	362183	Informed
2021-05-15	24566809	19884986	29731102	356234	Informed
2021-05-16	24921647	20010544	30354353	354838	Informed
2021-05-17	25274301	20135312	30996165	352654	Informed
2021-05-18	25622169	20247241	31603968	347868	Informed
2021-05-19	25965563	20365393	32228197	343394	Informed
2021-05-20	26305563	20476655	32838136	340000	Informed
2021-05-21	26640325	20607600	33448875	334762	Informed
2021-05-22	26969893	20709932	34035471	329568	Informed
2021-05-23	27294589	20827502	34631138	324696	Informed
2021-05-24	27613154	20926912	35218059	318565	Informed
2021-05-25	27925994	21026863	35789326	312840	Informed
2021-05-26	28234708	21155578	36340789	308714	Informed
2021-05-27	28537851	21248807	36905277	303143	Informed
2021-05-28	28834133	21356854	37457116	296282	Informed
2021-05-29	29123784	21476255	37989586	289651	Informed
2021-05-30	29407645	21569285	38511859	283861	Informed
2021-05-31	29685030	21674162	39039216	277385	Informed
2021-06-01	29956395	21775089	39539245	271365	Informed
2021-06-02	30221282	21885409	40041717	264887	Informed
2021-06-03	30481460	21971242	40545444	260178	Informed
2021-06-04	30735582	22055337	41011655	254122	Informed
2021-06-05	30982796	22181527	41489179	247214	Informed
2021-06-06	31225412	22277578	41965051	242616	Informed
2021-06-07	31461243	22379769	42418222	235831	Informed
2021-06-08	31690500	22467675	42848368	229257	Informed
2021-06-09	31916990	22576791	43267971	226490	Informed
2021-06-10	32137542	22669970	43680054	220552	Informed
2021-06-11	32351734	22774557	44119561	214192	Informed
2021-06-12	32561206	22882250	44508432	209472	Informed
2021-06-13	32766009	22986264	44915202	204803	Informed
2021-06-14	32964256	23065416	45304799	198247	Informed
2021-06-15	33156821	23180249	45676735	192565	Informed
2021-06-16	33345861	23275212	46051553	189040	Informed
2021-06-17	33532227	23371837	46409064	186366	Informed
2021-06-18	33713315	23470414	46777515	181088	Informed
2021-06-19	33890612	23552491	47107483	177297	Informed
2021-06-20	34065420	23675515	47466827	174808	Informed
2021-06-21	34237052	23774384	47802203	171632	Informed
2021-06-22	34404764	23878051	48139359	167712	Informed
2021-06-23	34567429	23980700	48455547	162665	Informed
2021-06-24	34728985	24077456	48806521	161556	Informed
2021-06-25	34886074	24164423	49124017	157089	Informed
2021-06-26	35042611	24264046	49422786	156537	Informed
2021-06-27	35195524	24360695	49737657	152913	Informed
2021-06-28	35346052	24439616	50056237	150528	Informed
2021-06-29	35495171	24535948	50365663	149119	Informed
2021-06-30	35641656	24618354	50634617	146485	Informed
2021-07-01	35784646	24723952	50962109	142990	Informed
2021-07-02	35924176	24799729	51231946	139530	Informed
2021-07-03	36061583	24871943	51530209	137407	Informed
2021-07-04	36196259	24986720	51817753	134676	Informed
2021-07-05	36328681	25062524	52112859	132422	Informed
2021-07-06	36458316	25161920	52402868	129635	Informed
2021-07-07	36584513	25233795	52673323	126197	Informed
2021-07-08	36709505	25300280	52976249	124992	Informed
2021-07-09	36831951	25388013	53270734	122446	Informed
2021-07-10	36952139	25462100	53527931	120188	Informed
2021-07-11	37070192	25551439	53784353	118053	Informed
2021-07-12	37186507	25603808	54080807	116315	Informed
2021-07-13	37301130	25680691	54344642	114623	Informed
2021-07-14	37415099	25754653	54608829	113969	Informed
2021-07-15	37526567	25830143	54853274	111468	Informed
2021-07-16	37634633	25884403	55083990	108066	Informed
2021-07-17	37740692	25940867	55385584	106059	Informed
2021-07-18	37845378	25999868	55660165	104686	Informed
2021-07-19	37948584	26056419	55868175	103206	Informed
2021-07-20	38049969	26120083	56132629	101385	Informed
2021-07-21	38150558	26185325	56372184	100589	Informed
2021-07-22	38248975	26239836	56605560	98417	Informed
2021-07-23	38345623	26268808	56856960	96648	Informed
2021-07-24	38439870	26332675	57087034	94247	Informed
2021-07-25	38534868	26369127	57340760	94998	Informed
2021-07-26	38626694	26420198	57560029	91826	Informed
2021-07-27	38719303	26456223	57815605	92609	Informed
2021-07-28	38808636	26502299	58050858	89333	Informed
2021-07-29	38896435	26537236	58287935	87799	Informed
2021-07-30	38984751	26575790	58532416	88316	Informed
2021-07-31	39071227	26631174	58762945	86476	Informed
2021-08-01	39157241	26670283	59015240	86014	Informed
2021-08-02	39241112	26708141	59232446	83871	Informed
2021-08-03	39323183	26745027	59441848	82071	Informed
2021-08-04	39404685	26788296	59713500	81502	Informed
2021-08-05	39484904	26796507	59912058	80219	Informed
2021-08-06	39564999	26835270	60184068	80095	Informed
2021-08-07	39643123	26858839	60394782	78124	Informed
2021-08-08	39720965	26870967	60623289	77842	Informed
2021-08-09	39798517	26904981	60836020	77552	Informed
2021-08-10	39875389	26942806	61125568	76872	Informed
2021-08-11	39949079	26940935	61324015	73690	Informed
2021-08-12	40024667	26957328	61544609	75588	Informed
2021-08-13	40099611	26975130	61742150	74944	Informed
2021-08-14	40173370	27009179	62044033	73759	Informed
2021-08-15	40245322	27017673	62281420	71952	Informed
2021-08-16	40316220	27036639	62484192	70898	Informed
2021-08-17	40387068	27048838	62683477	70848	Informed
2021-08-18	40457603	27076665	62928733	70535	Informed
2021-08-19	40526921	27073177	63180173	69318	Informed
2021-08-20	40595445	27086118	63401455	68524	Informed
2021-08-21	40665061	27095320	63602648	69616	Informed
2021-08-22	40735161	27108607	63864133	70100	Informed
2021-08-23	40804161	27131625	64153727	69000	Informed
2021-08-24	40872901	27139454	64332200	68740	Informed
2021-08-25	40941058	27134447	64610529	68157	Informed
2021-08-26	41008773	27139341	64884603	67715	Informed
