date	value	lower_ci	upper_ci	incidence	scenario
2021-03-30	12114794	11296453	12960117	NA	Informed
2021-03-31	12139814	11196435	13124908	25020	Informed
2021-04-01	12159667	11106194	13270028	19853	Informed
2021-04-02	12178858	11021930	13401915	19191	Informed
2021-04-03	12196891	10947385	13534435	18033	Informed
2021-04-04	12214509	10875878	13641032	17618	Informed
2021-04-05	12231688	10808519	13755830	17179	Informed
2021-04-06	12252981	10749736	13869446	21293	Informed
2021-04-07	12275665	10707400	13983369	22684	Informed
2021-04-08	12301191	10652900	14108913	25526	Informed
2021-04-09	12329564	10602385	14220716	28373	Informed
2021-04-10	12357404	10564871	14340519	27840	Informed
2021-04-11	12382915	10523439	14450579	25511	Informed
2021-04-12	12404157	10481321	14546957	21242	Informed
2021-04-13	12421816	10433076	14640111	17659	Informed
2021-04-14	12437327	10397528	14727484	15511	Informed
2021-04-15	12451558	10348932	14806657	14231	Informed
2021-04-16	12465232	10308373	14898445	13674	Informed
2021-04-17	12478443	10273683	14973346	13211	Informed
2021-04-18	12492226	10230408	15052274	13783	Informed
2021-04-19	12507197	10198210	15135572	14971	Informed
2021-04-20	12519900	10164537	15199291	12703	Informed
2021-04-21	12531361	10134180	15277254	11461	Informed
2021-04-22	12543214	10101744	15351182	11853	Informed
2021-04-23	12553312	10061946	15423964	10098	Informed
2021-04-24	12562654	10030074	15487991	9342	Informed
2021-04-25	12572126	10005811	15555718	9472	Informed
2021-04-26	12582569	9964848	15615107	10443	Informed
2021-04-27	12592584	9943728	15682639	10015	Informed
2021-04-28	12602446	9912398	15741543	9862	Informed
2021-04-29	12611918	9880132	15796938	9472	Informed
2021-04-30	12619746	9854623	15853425	7828	Informed
2021-05-01	12628142	9833884	15909968	8396	Informed
2021-05-02	12636080	9808207	15961912	7938	Informed
2021-05-03	12643948	9776998	16026209	7868	Informed
2021-05-04	12651463	9758240	16077455	7515	Informed
2021-05-05	12658768	9729443	16119512	7305	Informed
2021-05-06	12664402	9715431	16180664	5634	Informed
2021-05-07	12671346	9681604	16234454	6944	Informed
2021-05-08	12678277	9654091	16279696	6931	Informed
2021-05-09	12684761	9639774	16323483	6484	Informed
2021-05-10	12693126	9616171	16380531	8365	Informed
2021-05-11	12701637	9591522	16443133	8511	Informed
2021-05-12	12709603	9579554	16480710	7966	Informed
2021-05-13	12717482	9557288	16535548	7879	Informed
2021-05-14	12725115	9536904	16591484	7633	Informed
2021-05-15	12732623	9511830	16641566	7508	Informed
2021-05-16	12738887	9495422	16682430	6264	Informed
2021-05-17	12745194	9479818	16729262	6307	Informed
2021-05-18	12750491	9460187	16773988	5297	Informed
2021-05-19	12755483	9440496	16808466	4992	Informed
2021-05-20	12761810	9435263	16848879	6327	Informed
2021-05-21	12767143	9419301	16891274	5333	Informed
2021-05-22	12772818	9402088	16935623	5675	Informed
2021-05-23	12778483	9380681	16974931	5665	Informed
2021-05-24	12784808	9363716	17008369	6325	Informed
2021-05-25	12789807	9343082	17049823	4999	Informed
2021-05-26	12795449	9322835	17092663	5642	Informed
2021-05-27	12801185	9304969	17141613	5736	Informed
