date	value	lower_ci	upper_ci	incidence	scenario
2021-03-30	12114059	11301044	12958051	NA	Informed
2021-03-31	12139268	11199558	13119836	25209	Informed
2021-04-01	12158483	11110883	13264937	19215	Informed
2021-04-02	12178228	11022946	13398468	19745	Informed
2021-04-03	12195679	10944067	13524502	17451	Informed
2021-04-04	12212851	10877657	13643209	17172	Informed
2021-04-05	12231209	10815077	13757365	18358	Informed
2021-04-06	12252162	10758776	13876139	20953	Informed
2021-04-07	12274873	10702223	13985319	22711	Informed
2021-04-08	12301727	10655588	14104826	26854	Informed
2021-04-09	12329286	10609952	14217960	27559	Informed
2021-04-10	12357603	10567204	14338897	28317	Informed
2021-04-11	12383118	10525256	14447798	25515	Informed
2021-04-12	12404884	10486811	14545981	21766	Informed
2021-04-13	12423021	10440815	14647348	18137	Informed
2021-04-14	12439137	10397323	14729183	16116	Informed
2021-04-15	12453422	10362650	14819646	14285	Informed
2021-04-16	12466519	10316106	14897874	13097	Informed
2021-04-17	12479999	10284342	14975164	13480	Informed
2021-04-18	12492565	10236472	15052396	12566	Informed
2021-04-19	12506698	10205608	15130683	14133	Informed
2021-04-20	12519011	10171953	15203755	12313	Informed
2021-04-21	12530924	10134430	15282556	11913	Informed
2021-04-22	12541186	10099633	15351136	10262	Informed
2021-04-23	12551817	10064758	15423942	10631	Informed
2021-04-24	12561460	10034444	15484425	9643	Informed
2021-04-25	12571542	10004524	15548407	10082	Informed
2021-04-26	12580167	9977764	15616030	8625	Informed
2021-04-27	12590182	9949038	15679276	10015	Informed
2021-04-28	12600071	9921523	15730849	9889	Informed
2021-04-29	12609629	9887998	15786627	9558	Informed
2021-04-30	12617785	9865812	15843106	8156	Informed
2021-05-01	12624752	9831984	15898434	6967	Informed
2021-05-02	12633147	9811792	15953009	8395	Informed
2021-05-03	12639322	9792986	16004832	6175	Informed
2021-05-04	12647145	9763657	16059637	7823	Informed
2021-05-05	12653872	9739961	16109684	6727	Informed
2021-05-06	12660540	9715626	16158807	6668	Informed
2021-05-07	12667316	9688645	16211420	6776	Informed
2021-05-08	12674662	9670762	16259827	7346	Informed
2021-05-09	12682411	9645103	16305900	7749	Informed
2021-05-10	12691215	9635207	16365165	8804	Informed
2021-05-11	12700554	9607695	16413350	9339	Informed
2021-05-12	12709231	9589148	16471132	8677	Informed
2021-05-13	12717484	9580582	16506446	8253	Informed
2021-05-14	12724573	9550358	16565299	7089	Informed
2021-05-15	12731007	9530820	16616314	6434	Informed
2021-05-16	12737060	9516908	16658482	6053	Informed
2021-05-17	12743652	9499351	16689926	6592	Informed
2021-05-18	12750051	9484774	16739428	6399	Informed
2021-05-19	12755560	9460457	16783590	5509	Informed
2021-05-20	12761247	9443456	16814428	5687	Informed
2021-05-21	12766516	9430275	16867130	5269	Informed
2021-05-22	12772225	9414835	16907174	5709	Informed
2021-05-23	12777949	9392269	16954150	5724	Informed
2021-05-24	12782713	9374649	17005380	4764	Informed
2021-05-25	12787586	9361227	17045860	4873	Informed
2021-05-26	12794193	9343141	17086736	6607	Informed
2021-05-27	12800135	9330124	17133260	5942	Informed
