date	value	lower_ci	upper_ci	incidence	scenario
2021-05-02	19971556	18746025	21230724	NA	Informed
2021-05-03	20409244	18933895	21936918	437688	Informed
2021-05-04	20867139	19143474	22661223	457895	Informed
2021-05-05	21348174	19363263	23412575	481035	Informed
2021-05-06	21851316	19613288	24214332	503142	Informed
2021-05-07	22376968	19866852	25032862	525652	Informed
2021-05-08	22928733	20138421	25901251	551765	Informed
2021-05-09	23505459	20424110	26811017	576726	Informed
2021-05-10	24109108	20715738	27761456	603649	Informed
2021-05-11	24740850	21027304	28758896	631742	Informed
2021-05-12	25402654	21350393	29825121	661804	Informed
2021-05-13	26095062	21693064	30934162	692408	Informed
2021-05-14	26820905	22049541	32118186	725843	Informed
2021-05-15	27581694	22419809	33350254	760789	Informed
2021-05-16	28377473	22807472	34658795	795779	Informed
2021-05-17	29209079	23202779	36051996	831606	Informed
2021-05-18	30079727	23610263	37506322	870648	Informed
2021-05-19	30990226	24037947	39021997	910499	Informed
2021-05-20	31943200	24496587	40664505	952974	Informed
2021-05-21	32941821	24937060	42354834	998621	Informed
2021-05-22	33985139	25409703	44154819	1043318	Informed
2021-05-23	35077553	25885357	46037502	1092414	Informed
2021-05-24	36217555	26417651	48031002	1140002	Informed
2021-05-25	37411474	26944758	50133903	1193919	Informed
2021-05-26	38661323	27468652	52363391	1249849	Informed
2021-05-27	39967383	28039938	54706989	1306060	Informed
2021-05-28	41332585	28628898	57195316	1365202	Informed
2021-05-29	42759742	29232085	59772052	1427157	Informed
2021-05-30	44249949	29836320	62510349	1490207	Informed
2021-05-31	45808343	30525974	65413595	1558394	Informed
2021-06-01	47434724	31182193	68395178	1626381	Informed
2021-06-02	49133382	31881381	71573988	1698658	Informed
2021-06-03	50907506	32603235	74923507	1774124	Informed
2021-06-04	52762045	33329240	78404303	1854539	Informed
2021-06-05	54696196	34118404	82140060	1934151	Informed
2021-06-06	56715676	34894098	85987169	2019480	Informed
2021-06-07	58817622	35716927	90065788	2101946	Informed
2021-06-08	61012856	36548229	94393077	2195234	Informed
2021-06-09	63300729	37429374	98861465	2287873	Informed
2021-06-10	65687798	38325434	103561909	2387069	Informed
2021-06-11	68172436	39243528	108476549	2484638	Informed
2021-06-12	70760696	40204909	113698539	2588260	Informed
2021-06-13	73455240	41194942	119013099	2694544	Informed
2021-06-14	76257557	42212522	124600977	2802317	Informed
2021-06-15	79176793	43255955	130546618	2919236	Informed
2021-06-16	82211854	44364277	136651400	3035061	Informed
2021-06-17	85365181	45484099	143069024	3153327	Informed
2021-06-18	88641060	46671481	149769209	3275879	Informed
2021-06-19	92041880	47867838	156697900	3400820	Informed
2021-06-20	95571792	49083023	163877743	3529912	Informed
2021-06-21	99233836	50394461	171327310	3662044	Informed
2021-06-22	103032166	51680564	179270401	3798330	Informed
2021-06-23	106968706	53039262	187377017	3936540	Informed
2021-06-24	111041975	54391254	195846207	4073269	Informed
2021-06-25	115258317	55824577	204522716	4216342	Informed
2021-06-26	119618800	57280690	213580015	4360483	Informed
2021-06-27	124125590	58812740	222955637	4506790	Informed
2021-06-28	128782797	60340441	232621592	4657207	Informed
2021-06-29	133589260	61968538	242725328	4806463	Informed
