date	value	lower_ci	upper_ci	incidence	scenario
2021-03-30	12114304	11301622	12958238	NA	Informed
2021-03-31	12140919	11197030	13126942	26615	Informed
2021-04-01	12166599	11108718	13276640	25680	Informed
2021-04-02	12193259	11035162	13421490	26660	Informed
2021-04-03	12219092	10960568	13553595	25833	Informed
2021-04-04	12245023	10899017	13684382	25931	Informed
2021-04-05	12271423	10838244	13814258	26400	Informed
2021-04-06	12297816	10783914	13936969	26393	Informed
2021-04-07	12323725	10732725	14057902	25909	Informed
2021-04-08	12350002	10689140	14181979	26277	Informed
2021-04-09	12376549	10638885	14292021	26547	Informed
2021-04-10	12402850	10591416	14412460	26301	Informed
2021-04-11	12428966	10549090	14520488	26116	Informed
2021-04-12	12455813	10511329	14636367	26847	Informed
2021-04-13	12481422	10469682	14751025	25609	Informed
2021-04-14	12507606	10433994	14852410	26184	Informed
2021-04-15	12533680	10402807	14963424	26074	Informed
2021-04-16	12559515	10360856	15076070	25835	Informed
2021-04-17	12585411	10330029	15176962	25896	Informed
2021-04-18	12611902	10294860	15284290	26491	Informed
2021-04-19	12637886	10265934	15388243	25984	Informed
2021-04-20	12664231	10239617	15498898	26345	Informed
2021-04-21	12691597	10201385	15615951	27366	Informed
2021-04-22	12717442	10180627	15716546	25845	Informed
2021-04-23	12744007	10156524	15824285	26565	Informed
2021-04-24	12769322	10126143	15925707	25315	Informed
2021-04-25	12795406	10094222	16037500	26084	Informed
2021-04-26	12821150	10058025	16144127	25744	Informed
2021-04-27	12847559	10043343	16241475	26409	Informed
2021-04-28	12873529	10013832	16355159	25970	Informed
2021-04-29	12900574	10000854	16448273	27045	Informed
2021-04-30	12926502	9965645	16548263	25928	Informed
2021-05-01	12953199	9950693	16658568	26697	Informed
2021-05-02	12977958	9919952	16763713	24759	Informed
2021-05-03	13003203	9902102	16862679	25245	Informed
2021-05-04	13028277	9889048	16959889	25074	Informed
2021-05-05	13054358	9871770	17062118	26081	Informed
2021-05-06	13079646	9848924	17154104	25288	Informed
2021-05-07	13104837	9833569	17258560	25191	Informed
2021-05-08	13130311	9803246	17360015	25474	Informed
2021-05-09	13155732	9789202	17461199	25421	Informed
2021-05-10	13181554	9770785	17562416	25822	Informed
2021-05-11	13206697	9760250	17670398	25143	Informed
2021-05-12	13232562	9748300	17770978	25865	Informed
2021-05-13	13257588	9731355	17877216	25026	Informed
2021-05-14	13283217	9704657	17988396	25629	Informed
2021-05-15	13308281	9695098	18076912	25064	Informed
2021-05-16	13333607	9676482	18199888	25326	Informed
2021-05-17	13360180	9653745	18304555	26573	Informed
2021-05-18	13386406	9648612	18388778	26226	Informed
2021-05-19	13412439	9631311	18504003	26033	Informed
2021-05-20	13438450	9614864	18610727	26011	Informed
2021-05-21	13463974	9604212	18720261	25524	Informed
2021-05-22	13490689	9578330	18826001	26715	Informed
2021-05-23	13517208	9573094	18937444	26519	Informed
2021-05-24	13544265	9569540	19046182	27057	Informed
2021-05-25	13570542	9544657	19159169	26277	Informed
2021-05-26	13596175	9536325	19267501	25633	Informed
2021-05-27	13622218	9521831	19387757	26043	Informed
2021-05-28	13648955	9506138	19488948	26737	Informed
2021-05-29	13676250	9488576	19603770	27295	Informed
2021-05-30	13702753	9469659	19706814	26503	Informed
2021-05-31	13728880	9459550	19814627	26127	Informed
2021-06-01	13755350	9452897	19938141	26470	Informed
2021-06-02	13782414	9435083	20052363	27064	Informed
2021-06-03	13810512	9430408	20184362	28098	Informed
2021-06-04	13837627	9405129	20300217	27115	Informed
2021-06-05	13865225	9404834	20407159	27598	Informed
2021-06-06	13892591	9388050	20527259	27366	Informed
2021-06-07	13919355	9383061	20644299	26764	Informed
2021-06-08	13946337	9363738	20777231	26982	Informed
2021-06-09	13973584	9366367	20903883	27247	Informed
2021-06-10	14002390	9353388	21012113	28806	Informed
2021-06-11	14030193	9353543	21145696	27803	Informed
2021-06-12	14058386	9340224	21272028	28193	Informed
2021-06-13	14086575	9332938	21389852	28189	Informed
2021-06-14	14114491	9309113	21530613	27916	Informed
2021-06-15	14142360	9300980	21676368	27869	Informed
2021-06-16	14170579	9299489	21785426	28219	Informed
2021-06-17	14198649	9293334	21903443	28070	Informed
2021-06-18	14226649	9282290	22048457	28000	Informed
2021-06-19	14255470	9272221	22168158	28821	Informed
2021-06-20	14284801	9258586	22325360	29331	Informed
2021-06-21	14314187	9265771	22446693	29386	Informed
2021-06-22	14343356	9246721	22574646	29169	Informed
2021-06-23	14372834	9243379	22704836	29478	Informed
2021-06-24	14402412	9236823	22845811	29578	Informed
2021-06-25	14432220	9224333	23000476	29808	Informed
2021-06-26	14461840	9218758	23145642	29620	Informed
2021-06-27	14491455	9206117	23276378	29615	Informed
2021-06-28	14521961	9200543	23416374	30506	Informed
2021-06-29	14552654	9194877	23561220	30693	Informed
2021-06-30	14582574	9182536	23714387	29920	Informed
2021-07-01	14612572	9176491	23857514	29998	Informed
2021-07-02	14642774	9172930	24021113	30202	Informed
2021-07-03	14674053	9161298	24177227	31279	Informed
2021-07-04	14704355	9155679	24324066	30302	Informed
2021-07-05	14735136	9141594	24470227	30781	Informed
2021-07-06	14766932	9132590	24637755	31796	Informed
2021-07-07	14798141	9129322	24811541	31209	Informed
2021-07-08	14829992	9122257	24961521	31851	Informed
2021-07-09	14861595	9102202	25120225	31603	Informed
2021-07-10	14893445	9102254	25287324	31850	Informed
2021-07-11	14925951	9089705	25472911	32506	Informed
2021-07-12	14958973	9073990	25630076	33022	Informed
2021-07-13	14992380	9077269	25801691	33407	Informed
2021-07-14	15024252	9074916	25948086	31872	Informed
2021-07-15	15056749	9056691	26116990	32497	Informed
2021-07-16	15090629	9054850	26301594	33880	Informed
2021-07-17	15123986	9047078	26487652	33357	Informed
2021-07-18	15156802	9032042	26660161	32816	Informed
2021-07-19	15191567	9033030	26815859	34765	Informed
2021-07-20	15225644	9025024	27007877	34077	Informed
2021-07-21	15259184	9014445	27167644	33540	Informed
2021-07-22	15292596	9010465	27381769	33412	Informed
2021-07-23	15326906	8997640	27567259	34310	Informed
2021-07-24	15362122	8989618	27751702	35216	Informed
2021-07-25	15397020	8980027	27955656	34898	Informed
2021-07-26	15431329	8969052	28165487	34309	Informed
