date	value	lower_ci	upper_ci	incidence	scenario
2021-04-15	14177985	13205518	15182939	NA	Informed
2021-04-16	14296309	13154982	15494891	118324	Informed
2021-04-17	14415984	13114938	15795434	119675	Informed
2021-04-18	14537099	13086247	16091355	121115	Informed
2021-04-19	14657908	13061264	16383035	120809	Informed
2021-04-20	14779515	13045574	16680739	121607	Informed
2021-04-21	14901806	13026554	16973101	122291	Informed
2021-04-22	15023484	13011732	17271321	121678	Informed
2021-04-23	15144565	13003717	17566787	121081	Informed
2021-04-24	15265844	12997400	17868593	121279	Informed
2021-04-25	15386934	12986803	18161936	121090	Informed
2021-04-26	15506684	12968814	18462284	119750	Informed
2021-04-27	15625728	12969358	18760294	119044	Informed
2021-04-28	15743672	12955587	19055777	117944	Informed
2021-04-29	15861107	12943152	19336092	117435	Informed
2021-04-30	15978780	12940312	19631220	117673	Informed
2021-05-01	16094940	12932501	19911763	116160	Informed
2021-05-02	16209693	12922661	20200994	114753	Informed
2021-05-03	16324451	12916523	20496769	114758	Informed
2021-05-04	16437259	12906255	20784804	112808	Informed
2021-05-05	16547908	12910049	21054642	110649	Informed
2021-05-06	16657628	12891172	21339002	109720	Informed
2021-05-07	16765416	12885004	21594893	107788	Informed
2021-05-08	16871555	12889874	21863970	106139	Informed
2021-05-09	16976122	12878605	22134137	104567	Informed
2021-05-10	17078988	12863743	22389808	102866	Informed
2021-05-11	17181129	12863192	22644047	102141	Informed
2021-05-12	17282041	12853240	22897856	100912	Informed
2021-05-13	17380406	12847724	23148968	98365	Informed
2021-05-14	17476529	12844732	23406756	96123	Informed
2021-05-15	17570838	12831429	23634543	94309	Informed
2021-05-16	17663815	12832080	23887631	92977	Informed
2021-05-17	17756154	12831049	24102337	92339	Informed
2021-05-18	17846201	12820795	24330748	90047	Informed
2021-05-19	17935248	12817846	24572953	89047	Informed
2021-05-20	18021601	12804269	24796411	86353	Informed
2021-05-21	18106088	12801251	25006105	84487	Informed
2021-05-22	18188938	12802661	25229171	82850	Informed
2021-05-23	18269549	12807401	25431965	80611	Informed
2021-05-24	18350064	12794287	25636399	80515	Informed
2021-05-25	18428608	12789178	25838291	78544	Informed
2021-05-26	18507071	12792779	26031581	78463	Informed
2021-05-27	18582765	12793643	26240947	75694	Informed
2021-05-28	18657709	12791113	26437170	74944	Informed
2021-05-29	18730496	12807663	26624085	72787	Informed
2021-05-30	18801975	12803866	26802656	71479	Informed
2021-05-31	18871844	12817535	27009654	69869	Informed
2021-06-01	18941227	12815273	27181451	69383	Informed
2021-06-02	19009468	12812193	27352150	68241	Informed
2021-06-03	19076326	12818584	27535867	66858	Informed
2021-06-04	19142753	12824476	27703901	66427	Informed
2021-06-05	19208038	12830287	27881494	65285	Informed
2021-06-06	19273131	12838993	28056359	65093	Informed
2021-06-07	19336901	12851808	28236337	63770	Informed
2021-06-08	19400807	12857629	28395376	63906	Informed
2021-06-09	19463473	12874169	28580047	62666	Informed
2021-06-10	19525804	12878514	28720384	62331	Informed
2021-06-11	19587853	12900479	28904051	62049	Informed
2021-06-12	19649215	12909250	29090454	61362	Informed
2021-06-13	19710394	12916816	29234915	61179	Informed
2021-06-14	19770899	12931855	29399861	60505	Informed
2021-06-15	19830040	12941172	29552473	59141	Informed
2021-06-16	19888701	12942273	29703488	58661	Informed
2021-06-17	19946141	12949223	29878468	57440	Informed
2021-06-18	20003244	12968010	30025799	57103	Informed
2021-06-19	20059213	12977475	30200474	55969	Informed
2021-06-20	20114662	12997177	30374818	55449	Informed
2021-06-21	20169751	13001965	30523330	55089	Informed
2021-06-22	20224103	13016500	30670687	54352	Informed
2021-06-23	20277583	13024834	30834476	53480	Informed
2021-06-24	20332781	13044796	30987371	55198	Informed
2021-06-25	20385559	13047869	31141082	52778	Informed
2021-06-26	20438574	13058239	31313786	53015	Informed
2021-06-27	20490661	13068633	31465067	52087	Informed
2021-06-28	20542675	13099154	31605727	52014	Informed
2021-06-29	20594402	13099171	31757748	51727	Informed
2021-06-30	20646313	13121132	31928929	51911	Informed
2021-07-01	20696453	13133968	32079237	50140	Informed
2021-07-02	20746987	13150621	32250496	50534	Informed
2021-07-03	20795885	13153884	32383669	48898	Informed
2021-07-04	20844850	13171352	32528838	48965	Informed
2021-07-05	20894059	13179017	32696765	49209	Informed
2021-07-06	20942707	13189077	32827447	48648	Informed
2021-07-07	20991603	13202440	32989917	48896	Informed
2021-07-08	21039127	13225329	33156224	47524	Informed
2021-07-09	21086105	13217998	33324663	46978	Informed
2021-07-10	21133634	13228175	33457137	47529	Informed
2021-07-11	21179612	13257518	33607848	45978	Informed
2021-07-12	21227140	13248504	33776206	47528	Informed
2021-07-13	21274512	13278957	33922175	47372	Informed
2021-07-14	21321399	13282199	34069122	46887	Informed
2021-07-15	21367263	13309327	34221357	45864	Informed
