date	value	lower_ci	upper_ci	incidence	scenario
2021-05-11	23503584	22184633	24863012	NA	Informed
2021-05-12	23982465	22398941	25611130	478881	Informed
2021-05-13	24479131	22647665	26373957	496666	Informed
2021-05-14	24991870	22901098	27153498	512739	Informed
2021-05-15	25525704	23195053	27954624	533834	Informed
2021-05-16	26078290	23491312	28770844	552586	Informed
2021-05-17	26650331	23803667	29630338	572041	Informed
2021-05-18	27244388	24133842	30505861	594057	Informed
2021-05-19	27860215	24474172	31421258	615827	Informed
2021-05-20	28500186	24826868	32386235	639971	Informed
2021-05-21	29163317	25209046	33378911	663131	Informed
2021-05-22	29849804	25592728	34396756	686487	Informed
2021-05-23	30560620	25994171	35494194	710816	Informed
2021-05-24	31297615	26401117	36613433	736995	Informed
2021-05-25	32060992	26816872	37772633	763377	Informed
2021-05-26	32851248	27253982	38998367	790256	Informed
2021-05-27	33670881	27699071	40274140	819633	Informed
2021-05-28	34520950	28175630	41589702	850069	Informed
2021-05-29	35401826	28647697	42967283	880876	Informed
2021-05-30	36314477	29148208	44407839	912651	Informed
2021-05-31	37260656	29652774	45905762	946179	Informed
2021-06-01	38238826	30168307	47460098	978170	Informed
2021-06-02	39251636	30707565	49108771	1012810	Informed
2021-06-03	40300800	31254992	50815892	1049164	Informed
2021-06-04	41387449	31824140	52573077	1086649	Informed
2021-06-05	42512377	32387139	54428976	1124928	Informed
2021-06-06	43676100	32993741	56380554	1163723	Informed
2021-06-07	44880312	33608818	58399032	1204212	Informed
2021-06-08	46126528	34242701	60483928	1246216	Informed
2021-06-09	47416541	34867205	62644093	1290013	Informed
2021-06-10	48752390	35543002	64909115	1335849	Informed
2021-06-11	50132830	36227703	67277749	1380440	Informed
2021-06-12	51562058	36931868	69739790	1429228	Informed
2021-06-13	53040235	37615584	72287021	1478177	Informed
2021-06-14	54567207	38351809	74935757	1526972	Informed
2021-06-15	56145968	39111018	77749222	1578761	Informed
2021-06-16	57779766	39875684	80641949	1633798	Informed
2021-06-17	59467020	40658507	83697671	1687254	Informed
2021-06-18	61209443	41490735	86768250	1742423	Informed
2021-06-19	63010062	42315535	90003143	1800619	Informed
2021-06-20	64871146	43161189	93342375	1861084	Informed
2021-06-21	66791063	44025719	96857516	1919917	Informed
2021-06-22	68772855	44904919	100454779	1981792	Informed
2021-06-23	70819263	45796450	104280392	2046408	Informed
2021-06-24	72929637	46725819	108146248	2110374	Informed
2021-06-25	75106467	47711411	112195249	2176830	Informed
2021-06-26	77350978	48697095	116446943	2244511	Informed
2021-06-27	79663960	49693141	120781055	2312982	Informed
2021-06-28	82047878	50751390	125242949	2383918	Informed
2021-06-29	84505290	51779790	129927394	2457412	Informed
2021-06-30	87037843	52857071	134674980	2532553	Informed
2021-07-01	89644196	53947196	139662260	2606353	Informed
2021-07-02	92323833	55058878	144798661	2679637	Informed
2021-07-03	95084764	56188673	150068283	2760931	Informed
2021-07-04	97920748	57331215	155370343	2835984	Informed
2021-07-05	100838645	58557442	161064983	2917897	Informed
2021-07-06	103839240	59776266	166857872	3000595	Informed
2021-07-07	106920310	61011747	172753029	3081070	Informed
2021-07-08	110080319	62326876	178899534	3160009	Informed
2021-07-09	113326987	63646786	185048908	3246668	Informed
2021-07-10	116657891	64890244	191619949	3330904	Informed
2021-07-11	120072035	66230499	198170678	3414144	Informed
2021-07-12	123570405	67614449	204961689	3498370	Informed
2021-07-13	127158272	69059134	211924115	3587867	Informed
2021-07-14	130828564	70434126	219070966	3670292	Informed
2021-07-15	134588437	71918672	226318587	3759873	Informed
2021-07-16	138433555	73471172	233769368	3845118	Informed
2021-07-17	142365241	74963080	241451526	3931686	Informed
2021-07-18	146382979	76488795	249246033	4017738	Informed
2021-07-19	150489692	78130388	257264773	4106713	Informed
2021-07-20	154680964	79718493	265318088	4191272	Informed
2021-07-21	158958285	81384613	273634766	4277321	Informed
2021-07-22	163317975	83022598	282052758	4359690	Informed
2021-07-23	167761464	84804797	290700104	4443489	Informed
2021-07-24	172288829	86536772	299093906	4527365	Informed
2021-07-25	176900008	88362074	308012893	4611179	Informed
2021-07-26	181595264	90104201	316813714	4695256	Informed
2021-07-27	186366451	91970504	325962583	4771187	Informed
2021-07-28	191216967	93907146	335034465	4850516	Informed
2021-07-29	196146043	95784913	344297037	4929076	Informed
2021-07-30	201142578	97669627	353495725	4996535	Informed
2021-07-31	206213571	99623732	362756354	5070993	Informed
2021-08-01	211355528	101604176	372093253	5141957	Informed
2021-08-02	216565930	103592463	381866721	5210402	Informed
2021-08-03	221845167	105675373	391446951	5279237	Informed
2021-08-04	227186606	107726015	401157883	5341439	Informed
2021-08-05	232590153	109878754	410941118	5403547	Informed
2021-08-06	238050340	112032777	420583819	5460187	Informed
2021-08-07	243570708	114218820	430371433	5520368	Informed
2021-08-08	249138678	116379045	440402755	5567970	Informed
2021-08-09	254757428	118674912	450197276	5618750	Informed
2021-08-10	260423721	121003649	459834540	5666293	Informed
2021-08-11	266132301	123338195	469746841	5708580	Informed
2021-08-12	271876987	125643312	479596196	5744686	Informed
2021-08-13	277662919	128064376	489379474	5785932	Informed
2021-08-14	283481939	130464691	499391313	5819020	Informed
2021-08-15	289330788	132864232	509215554	5848849	Informed
2021-08-16	295204306	135392287	518899864	5873518	Informed
2021-08-17	301105443	137886273	528609437	5901137	Informed
2021-08-18	307029548	140406635	538131547	5924105	Informed
2021-08-19	312968087	142984607	547616148	5938539	Informed
2021-08-20	318919529	145614442	557212102	5951442	Informed
2021-08-21	324881705	148206605	566555548	5962176	Informed
2021-08-22	330848862	150929206	575942584	5967157	Informed
2021-08-23	336821215	153544254	585184831	5972353	Informed
2021-08-24	342791514	156269127	594504706	5970299	Informed
2021-08-25	348761039	158993375	603620226	5969525	Informed
2021-08-26	354728068	161751625	612741926	5967029	Informed
2021-08-27	360679165	164484077	621421142	5951097	Informed
2021-08-28	366618268	167420040	630093820	5939103	Informed
2021-08-29	372546136	170349645	638816407	5927868	Informed
2021-08-30	378451684	173125296	647316719	5905548	Informed
