date	value	lower_ci	upper_ci	incidence	scenario
2021-05-11	23506057	22182595	24861597	NA	Informed
2021-05-12	23984846	22401990	25616105	478789	Informed
2021-05-13	24479581	22639711	26380742	494735	Informed
2021-05-14	24994422	22904711	27162279	514841	Informed
2021-05-15	25527967	23191724	27960551	533545	Informed
2021-05-16	26080916	23492442	28778276	552949	Informed
2021-05-17	26653894	23801749	29630023	572978	Informed
2021-05-18	27248668	24135966	30525684	594774	Informed
2021-05-19	27864568	24482966	31439466	615900	Informed
2021-05-20	28503544	24830714	32383559	638976	Informed
2021-05-21	29165521	25206986	33375168	661977	Informed
2021-05-22	29851335	25576938	34409210	685814	Informed
2021-05-23	30561671	25983051	35480138	710336	Informed
2021-05-24	31297837	26398409	36608331	736166	Informed
2021-05-25	32062189	26823911	37770215	764352	Informed
2021-05-26	32854519	27254406	38998327	792330	Informed
2021-05-27	33676149	27718054	40277824	821630	Informed
2021-05-28	34526099	28182913	41577296	849950	Informed
2021-05-29	35407259	28657008	42972234	881160	Informed
2021-05-30	36320459	29134093	44378470	913200	Informed
2021-05-31	37264578	29652797	45894860	944119	Informed
2021-06-01	38243261	30161840	47474427	978683	Informed
2021-06-02	39257265	30701411	49096112	1014004	Informed
2021-06-03	40305830	31244686	50818184	1048565	Informed
2021-06-04	41394086	31830242	52599834	1088256	Informed
2021-06-05	42520387	32391615	54422255	1126301	Informed
2021-06-06	43685389	32991588	56372427	1165002	Informed
2021-06-07	44890553	33596488	58336546	1205164	Informed
2021-06-08	46138221	34218239	60475583	1247668	Informed
2021-06-09	47430660	34866894	62659242	1292439	Informed
2021-06-10	48767388	35525931	64901760	1336728	Informed
2021-06-11	50149265	36196150	67306535	1381877	Informed
2021-06-12	51579119	36886018	69743651	1429854	Informed
2021-06-13	53056908	37614726	72323001	1477789	Informed
2021-06-14	54586187	38326977	74999306	1529279	Informed
2021-06-15	56166804	39105202	77796943	1580617	Informed
2021-06-16	57800116	39868212	80641424	1633312	Informed
2021-06-17	59489295	40655951	83637459	1689179	Informed
2021-06-18	61233903	41465405	86805429	1744608	Informed
2021-06-19	63036136	42259114	90003953	1802233	Informed
2021-06-20	64896972	43137750	93381556	1860836	Informed
2021-06-21	66818777	43997237	96899252	1921805	Informed
2021-06-22	68802654	44872774	100549249	1983877	Informed
2021-06-23	70851359	45802741	104330783	2048705	Informed
2021-06-24	72964545	46740078	108185454	2113186	Informed
2021-06-25	75143709	47704494	112220019	2179164	Informed
2021-06-26	77390510	48631143	116478007	2246801	Informed
2021-06-27	79708488	49662389	120756009	2317978	Informed
2021-06-28	82093964	50666301	125270418	2385476	Informed
2021-06-29	84552965	51731933	129910491	2459001	Informed
2021-06-30	87085187	52781024	134709343	2532222	Informed
2021-07-01	89691375	53868210	139681966	2606188	Informed
2021-07-02	92376505	54975259	144892819	2685130	Informed
2021-07-03	95139136	56147323	150147490	2762631	Informed
2021-07-04	97979764	57304002	155663610	2840628	Informed
2021-07-05	100897303	58460582	161259552	2917539	Informed
2021-07-06	103893743	59628905	166985168	2996440	Informed
2021-07-07	106972172	60920005	172919406	3078429	Informed
