date	value	lower_ci	upper_ci	incidence	scenario
2021-03-01	11110918	10388785	11867747	NA	Informed
2021-03-02	11114392	10278306	11992033	3474	Informed
2021-03-03	11117765	10186224	12102489	3373	Informed
2021-03-04	11120318	10096174	12203033	2553	Informed
2021-03-05	11123807	10023230	12300776	3489	Informed
2021-03-06	11126847	9950308	12389616	3040	Informed
2021-03-07	11129934	9889028	12471042	3087	Informed
2021-03-08	11132617	9828404	12548201	2683	Informed
2021-03-09	11134483	9766554	12622708	1866	Informed
2021-03-10	11136349	9711969	12688186	1866	Informed
2021-03-11	11138401	9654516	12760462	2052	Informed
2021-03-12	11141563	9606064	12826435	3162	Informed
2021-03-13	11144186	9547744	12894470	2623	Informed
2021-03-14	11146619	9499104	12955522	2433	Informed
2021-03-15	11149241	9456473	13024485	2622	Informed
2021-03-16	11152799	9414490	13087165	3558	Informed
2021-03-17	11155104	9359687	13144607	2305	Informed
2021-03-18	11157065	9325832	13198701	1961	Informed
2021-03-19	11158900	9288045	13254988	1835	Informed
2021-03-20	11160645	9242550	13310078	1745	Informed
2021-03-21	11162321	9203109	13375759	1676	Informed
2021-03-22	11164170	9165242	13431103	1849	Informed
2021-03-23	11165174	9125913	13472808	1004	Informed
2021-03-24	11167112	9091460	13527008	1938	Informed
2021-03-25	11169051	9055295	13573497	1939	Informed
2021-03-26	11171574	9021039	13627750	2523	Informed
2021-03-27	11172594	8983763	13672904	1020	Informed
2021-03-28	11174476	8951933	13720786	1882	Informed
2021-03-29	11176167	8921854	13761444	1691	Informed
2021-03-30	11177353	8884979	13807770	1186	Informed
2021-03-31	11178410	8858555	13845797	1057	Informed
2021-04-01	11179488	8828901	13894273	1078	Informed
2021-04-02	11181133	8792075	13932159	1645	Informed
2021-04-03	11182336	8770548	13979353	1203	Informed
2021-04-04	11183580	8725514	14028098	1244	Informed
2021-04-05	11185138	8705311	14054561	1558	Informed
2021-04-06	11186657	8678837	14107587	1519	Informed
2021-04-07	11187973	8654066	14153422	1316	Informed
2021-04-08	11187796	8627181	14191372	-177	Informed
2021-04-09	11188382	8585717	14237250	586	Informed
2021-04-10	11189032	8568369	14281274	650	Informed
2021-04-11	11189810	8541118	14309000	778	Informed
2021-04-12	11190100	8517894	14359529	290	Informed
2021-04-13	11190862	8494775	14396553	762	Informed
2021-04-14	11191344	8468995	14429680	482	Informed
2021-04-15	11191789	8438300	14460639	445	Informed
2021-04-16	11192272	8414852	14498895	483	Informed
2021-04-17	11192504	8388571	14531789	232	Informed
2021-04-18	11193422	8362063	14561170	918	Informed
2021-04-19	11193371	8335604	14606744	-51	Informed
2021-04-20	11193256	8310789	14638293	-115	Informed
2021-04-21	11194313	8290579	14677296	1057	Informed
2021-04-22	11194489	8263881	14711789	176	Informed
2021-04-23	11194600	8238360	14752127	111	Informed
2021-04-24	11193670	8211880	14790021	-930	Informed
2021-04-25	11193088	8190527	14822808	-582	Informed
2021-04-26	11193129	8161199	14849674	41	Informed
2021-04-27	11192430	8136933	14882017	-699	Informed
2021-04-28	11193068	8115635	14916326	638	Informed
2021-04-29	11193713	8093032	14950153	645	Informed
2021-04-30	11193468	8073307	14976287	-245	Informed
2021-05-01	11193276	8041567	15007845	-192	Informed
2021-05-02	11193011	8024541	15041884	-265	Informed
2021-05-03	11193439	7987894	15073265	428	Informed
2021-05-04	11193178	7964008	15104151	-261	Informed
2021-05-05	11192721	7940073	15133679	-457	Informed
2021-05-06	11192227	7918989	15155084	-494	Informed
2021-05-07	11192084	7893722	15200232	-143	Informed
2021-05-08	11192247	7869577	15226733	163	Informed
2021-05-09	11192007	7852005	15258414	-240	Informed
2021-05-10	11191550	7835352	15281584	-457	Informed
2021-05-11	11191561	7813266	15321701	11	Informed
2021-05-12	11191621	7793561	15347373	60	Informed
2021-05-13	11191977	7768206	15376119	356	Informed
2021-05-14	11191004	7741979	15399776	-973	Informed
2021-05-15	11190748	7718913	15434431	-256	Informed
2021-05-16	11190381	7695919	15460569	-367	Informed
2021-05-17	11189738	7666542	15492081	-643	Informed
2021-05-18	11189212	7652297	15509867	-526	Informed
2021-05-19	11188679	7630066	15543404	-533	Informed
2021-05-20	11188328	7606609	15566711	-351	Informed
2021-05-21	11187384	7588320	15598776	-944	Informed
2021-05-22	11186893	7564464	15627010	-491	Informed
2021-05-23	11185960	7541089	15650321	-933	Informed
2021-05-24	11185105	7526799	15687044	-855	Informed
2021-05-25	11183174	7492085	15713490	-1931	Informed
2021-05-26	11181587	7471784	15746785	-1587	Informed
2021-05-27	11180544	7454680	15766005	-1043	Informed
2021-05-28	11180013	7433375	15802444	-531	Informed
2021-05-29	11178940	7401805	15825344	-1073	Informed
2021-05-30	11178709	7378495	15854311	-231	Informed
2021-05-31	11177783	7350245	15882028	-926	Informed
2021-06-01	11176557	7337144	15911055	-1226	Informed
2021-06-02	11175337	7319371	15939577	-1220	Informed
2021-06-03	11173958	7293218	15954456	-1379	Informed
2021-06-04	11172902	7265782	15986997	-1056	Informed
2021-06-05	11172414	7240736	16019525	-488	Informed
2021-06-06	11171381	7224679	16046344	-1033	Informed
2021-06-07	11169448	7204460	16055248	-1933	Informed
2021-06-08	11168221	7184909	16095578	-1227	Informed
2021-06-09	11167109	7165253	16112778	-1112	Informed
2021-06-10	11166149	7137864	16145115	-960	Informed
2021-06-11	11165122	7112655	16181191	-1027	Informed
2021-06-12	11163860	7105015	16203088	-1262	Informed
2021-06-13	11162475	7074326	16226673	-1385	Informed
2021-06-14	11161577	7050099	16240619	-898	Informed
2021-06-15	11159699	7038198	16277589	-1878	Informed
2021-06-16	11158351	7012637	16279464	-1348	Informed
2021-06-17	11157579	6994271	16318850	-772	Informed
2021-06-18	11155643	6969196	16344710	-1936	Informed
2021-06-19	11154786	6946846	16364414	-857	Informed
2021-06-20	11153420	6928709	16396818	-1366	Informed
2021-06-21	11151573	6909312	16424046	-1847	Informed
2021-06-22	11150282	6876827	16441324	-1291	Informed
2021-06-23	11148820	6859329	16477148	-1462	Informed
2021-06-24	11147068	6841303	16489708	-1752	Informed
2021-06-25	11145208	6815559	16520606	-1860	Informed
2021-06-26	11143545	6792528	16544991	-1663	Informed
2021-06-27	11141768	6772369	16563401	-1777	Informed
