date	value	lower_ci	upper_ci	incidence	scenario
2021-03-15	11380830	10633668	12157658	NA	Informed
2021-03-16	11384833	10524298	12287203	4003	Informed
2021-03-17	11389483	10430681	12400481	4650	Informed
2021-03-18	11393593	10346221	12505193	4110	Informed
2021-03-19	11399172	10271443	12611880	5579	Informed
2021-03-20	11403255	10199090	12694485	4083	Informed
2021-03-21	11408515	10131140	12778498	5260	Informed
2021-03-22	11413393	10066584	12861676	4878	Informed
2021-03-23	11418813	10005818	12949032	5420	Informed
2021-03-24	11423554	9949217	13020980	4741	Informed
2021-03-25	11427744	9890999	13095146	4190	Informed
2021-03-26	11432029	9837763	13167605	4285	Informed
2021-03-27	11437418	9787822	13240059	5389	Informed
2021-03-28	11441266	9738293	13311165	3848	Informed
2021-03-29	11446496	9695200	13380251	5230	Informed
2021-03-30	11451814	9652995	13444890	5318	Informed
2021-03-31	11457579	9604256	13510314	5765	Informed
2021-04-01	11462151	9554381	13576553	4572	Informed
2021-04-02	11466261	9524811	13639450	4110	Informed
2021-04-03	11470618	9478167	13700960	4357	Informed
2021-04-04	11475817	9447430	13755874	5199	Informed
2021-04-05	11481084	9397793	13817345	5267	Informed
2021-04-06	11485954	9363577	13880251	4870	Informed
2021-04-07	11490851	9322298	13932707	4897	Informed
2021-04-08	11496221	9300400	13991508	5370	Informed
2021-04-09	11501812	9257249	14052537	5591	Informed
2021-04-10	11506271	9225525	14099450	4459	Informed
2021-04-11	11511432	9190295	14165987	5161	Informed
2021-04-12	11516055	9153306	14219771	4623	Informed
2021-04-13	11521449	9118674	14279105	5394	Informed
2021-04-14	11525991	9085325	14327561	4542	Informed
2021-04-15	11530948	9052846	14389587	4957	Informed
2021-04-16	11535873	9019704	14435375	4925	Informed
2021-04-17	11540355	8988908	14489950	4482	Informed
2021-04-18	11545094	8962819	14545079	4739	Informed
2021-04-19	11549641	8928097	14600210	4547	Informed
2021-04-20	11554412	8907644	14660118	4771	Informed
2021-04-21	11559284	8869812	14696630	4872	Informed
2021-04-22	11563509	8839110	14752037	4225	Informed
2021-04-23	11568466	8814218	14803336	4957	Informed
2021-04-24	11572350	8780020	14858332	3884	Informed
2021-04-25	11577147	8758825	14898576	4797	Informed
2021-04-26	11581396	8735488	14947574	4249	Informed
2021-04-27	11585581	8707239	15006369	4185	Informed
2021-04-28	11590267	8688098	15054182	4686	Informed
2021-04-29	11595121	8655745	15098161	4854	Informed
2021-04-30	11600471	8625140	15151919	5350	Informed
2021-05-01	11606052	8607179	15204878	5581	Informed
2021-05-02	11611311	8581552	15249645	5259	Informed
2021-05-03	11615829	8558907	15298676	4518	Informed
2021-05-04	11620701	8529809	15352319	4872	Informed
2021-05-05	11625253	8511090	15398807	4552	Informed
2021-05-06	11630129	8476056	15449426	4876	Informed
2021-05-07	11636028	8460746	15494172	5899	Informed
2021-05-08	11641829	8440161	15550250	5801	Informed
2021-05-09	11646612	8412779	15594831	4783	Informed
2021-05-10	11652435	8385100	15651711	5823	Informed
2021-05-11	11657118	8357181	15700955	4683	Informed
2021-05-12	11662230	8336394	15756319	5112	Informed
2021-05-13	11667853	8312342	15803012	5623	Informed
2021-05-14	11672932	8279116	15855037	5079	Informed
2021-05-15	11679012	8263662	15905921	6080	Informed
2021-05-16	11684906	8247014	15962159	5894	Informed
2021-05-17	11689969	8223175	16008787	5063	Informed
2021-05-18	11695924	8201419	16049124	5955	Informed
2021-05-19	11701301	8178404	16111342	5377	Informed
2021-05-20	11706876	8151354	16154679	5575	Informed
2021-05-21	11712008	8132139	16217323	5132	Informed
2021-05-22	11718092	8109645	16271343	6084	Informed
2021-05-23	11723535	8085709	16330156	5443	Informed
2021-05-24	11728751	8063737	16385036	5216	Informed
2021-05-25	11735073	8047584	16427173	6322	Informed
2021-05-26	11741396	8016905	16478969	6323	Informed
2021-05-27	11746665	7996448	16544179	5269	Informed
2021-05-28	11752079	7980272	16583997	5414	Informed
2021-05-29	11756625	7951838	16642271	4546	Informed
2021-05-30	11763397	7940239	16697967	6772	Informed
2021-05-31	11769255	7910184	16739644	5858	Informed
2021-06-01	11774350	7880956	16797030	5095	Informed
2021-06-02	11780017	7863624	16854282	5667	Informed
2021-06-03	11786372	7845659	16910813	6355	Informed
2021-06-04	11792981	7828275	16955520	6609	Informed
2021-06-05	11799337	7804081	17007688	6356	Informed
2021-06-06	11805294	7786228	17062309	5957	Informed
2021-06-07	11811131	7767513	17120582	5837	Informed
2021-06-08	11817459	7736918	17173745	6328	Informed
2021-06-09	11823785	7712234	17227004	6326	Informed
2021-06-10	11830096	7684917	17304368	6311	Informed
2021-06-11	11836442	7670127	17343892	6346	Informed
2021-06-12	11842141	7647462	17388201	5699	Informed
2021-06-13	11848465	7634093	17458467	6324	Informed
2021-06-14	11854382	7609340	17515682	5917	Informed
2021-06-15	11860720	7584571	17572973	6338	Informed
2021-06-16	11867562	7565530	17618847	6842	Informed
2021-06-17	11874008	7548506	17681142	6446	Informed
2021-06-18	11881464	7528816	17744870	7456	Informed
2021-06-19	11888486	7507229	17793742	7022	Informed
2021-06-20	11894731	7480833	17847948	6245	Informed
2021-06-21	11900963	7462508	17905251	6232	Informed
2021-06-22	11908440	7437476	17977152	7477	Informed
2021-06-23	11914914	7422821	18022588	6474	Informed
2021-06-24	11921991	7391766	18089680	7077	Informed
2021-06-25	11928930	7372159	18146409	6939	Informed
2021-06-26	11936150	7344737	18216453	7220	Informed
2021-06-27	11943875	7331115	18265882	7725	Informed
2021-06-28	11951174	7301079	18338722	7299	Informed
2021-06-29	11958990	7271564	18406219	7816	Informed
2021-06-30	11966608	7249972	18458958	7618	Informed
2021-07-01	11973859	7233587	18514529	7251	Informed
2021-07-02	11981020	7202987	18576774	7161	Informed
2021-07-03	11988705	7195201	18644697	7685	Informed
2021-07-04	11996664	7168669	18707018	7959	Informed
2021-07-05	12004420	7136589	18776966	7756	Informed
2021-07-06	12011792	7125198	18828011	7372	Informed
2021-07-07	12019567	7106358	18892704	7775	Informed
2021-07-08	12027907	7071691	18951564	8340	Informed
2021-07-09	12035847	7061202	19020986	7940	Informed
2021-07-10	12044203	7043350	19092861	8356	Informed
2021-07-11	12054108	7027425	19170327	9905	Informed
