date	value	lower_ci	upper_ci	incidence	scenario
2021-05-16	25135278	23643685	26661275	NA	Informed
2021-05-17	25562542	23781662	27396295	427264	Informed
2021-05-18	26005957	23950711	28126556	443415	Informed
2021-05-19	26464206	24133329	28865983	458249	Informed
2021-05-20	26938024	24338712	29630514	473818	Informed
2021-05-21	27428471	24575543	30406789	490447	Informed
2021-05-22	27933623	24804121	31205652	505152	Informed
2021-05-23	28456502	25037002	32032082	522879	Informed
2021-05-24	28996138	25297538	32875690	539636	Informed
2021-05-25	29555267	25576403	33766798	559129	Informed
2021-05-26	30132956	25856052	34675705	577689	Informed
2021-05-27	30731765	26156082	35612264	598809	Informed
2021-05-28	31348760	26453314	36602979	616995	Informed
2021-05-29	31986420	26771842	37598367	637660	Informed
2021-05-30	32646599	27087686	38665703	660179	Informed
2021-05-31	33327011	27418243	39753398	680412	Informed
2021-06-01	34033195	27766197	40897960	706184	Informed
2021-06-02	34761097	28121812	42076616	727902	Informed
2021-06-03	35511640	28468418	43309069	750543	Informed
2021-06-04	36286827	28839903	44573538	775187	Informed
2021-06-05	37088240	29227707	45909267	801413	Informed
2021-06-06	37916130	29625291	47296662	827890	Informed
2021-06-07	38772226	30019932	48736435	856096	Informed
2021-06-08	39656825	30438782	50206189	884599	Informed
2021-06-09	40567996	30844971	51786822	911171	Informed
2021-06-10	41510780	31287890	53390060	942784	Informed
2021-06-11	42484397	31728558	55076401	973617	Informed
2021-06-12	43490417	32190977	56820417	1006020	Informed
2021-06-13	44527857	32654657	58616372	1037440	Informed
2021-06-14	45599393	33139555	60504372	1071536	Informed
2021-06-15	46703909	33632537	62521668	1104516	Informed
2021-06-16	47844517	34129396	64534858	1140608	Informed
2021-06-17	49019829	34640818	66640341	1175312	Informed
2021-06-18	50234124	35183325	68864902	1214295	Informed
2021-06-19	51485532	35686359	71082485	1251408	Informed
2021-06-20	52777226	36261452	73481285	1291694	Informed
2021-06-21	54108768	36848288	75945231	1331542	Informed
2021-06-22	55484027	37419725	78501666	1375259	Informed
2021-06-23	56902033	38004256	81118205	1418006	Informed
2021-06-24	58365022	38618899	83889521	1462989	Informed
2021-06-25	59870445	39251638	86706311	1505423	Informed
2021-06-26	61424037	39871059	89661161	1553592	Informed
2021-06-27	63024156	40522178	92660364	1600119	Informed
2021-06-28	64670888	41177812	95799440	1646732	Informed
2021-06-29	66367233	41884178	99095093	1696345	Informed
2021-06-30	68114183	42560923	102465614	1746950	Informed
2021-07-01	69911093	43246070	106025645	1796910	Informed
2021-07-02	71761264	43962928	109623538	1850171	Informed
2021-07-03	73665611	44742721	113427824	1904347	Informed
2021-07-04	75626420	45490392	117277862	1960809	Informed
2021-07-05	77644173	46270475	121219567	2017753	Informed
2021-07-06	79719445	47058851	125458651	2075272	Informed
2021-07-07	81853399	47863330	129719566	2133954	Informed
2021-07-08	84046304	48630554	134093851	2192905	Informed
2021-07-09	86299992	49510424	138665828	2253688	Informed
2021-07-10	88613090	50362756	143290389	2313098	Informed
2021-07-11	90988852	51247073	148227019	2375762	Informed
2021-07-12	93430944	52099643	153151371	2442092	Informed
2021-07-13	95934943	53023585	158256873	2503999	Informed
2021-07-14	98504209	53948380	163501471	2569266	Informed
2021-07-15	101141565	54902454	168970383	2637356	Informed
2021-07-16	103843340	55870864	174524822	2701775	Informed
2021-07-17	106612059	56865250	180258390	2768719	Informed
2021-07-18	109448917	57888488	186092733	2836858	Informed
2021-07-19	112352971	58891788	192065431	2904054	Informed
2021-07-20	115332826	59901582	198335745	2979855	Informed
2021-07-21	118378259	60973967	204595773	3045433	Informed
2021-07-22	121496328	62040523	211136195	3118069	Informed
2021-07-23	124684462	63147199	217686712	3188134	Informed
2021-07-24	127939975	64318108	224397658	3255513	Informed
2021-07-25	131269114	65441099	231410294	3329139	Informed
2021-07-26	134669381	66632134	238473020	3400267	Informed
2021-07-27	138141691	67758235	245645470	3472310	Informed
2021-07-28	141681193	68952409	252973564	3539502	Informed
2021-07-29	145294786	70210632	260533138	3613593	Informed
2021-07-30	148979972	71472976	268145118	3685186	Informed
2021-07-31	152737021	72701613	275730471	3757049	Informed
2021-08-01	156562594	73993096	283540884	3825573	Informed
2021-08-02	160458926	75348565	291807217	3896332	Informed
2021-08-03	164423697	76615639	299742686	3964771	Informed
2021-08-04	168455452	77999407	307958276	4031755	Informed
2021-08-05	172554598	79383226	316234706	4099146	Informed
2021-08-06	176721877	80784748	324693348	4167279	Informed
2021-08-07	180956182	82178747	333175847	4234305	Informed
2021-08-08	185255023	83694383	341883106	4298841	Informed
2021-08-09	189613452	85159002	350726027	4358429	Informed
2021-08-10	194037461	86688730	359527925	4424009	Informed
2021-08-11	198524088	88174593	368583873	4486627	Informed
2021-08-12	203065880	89711043	377469219	4541792	Informed
2021-08-13	207663701	91199038	386525645	4597821	Informed
2021-08-14	212320424	92825291	395742210	4656723	Informed
2021-08-15	217029101	94407167	404858762	4708677	Informed
2021-08-16	221794996	96059921	414268472	4765895	Informed
2021-08-17	226607117	97718947	423570210	4812121	Informed
2021-08-18	231467544	99407336	432875958	4860427	Informed
2021-08-19	236373487	101130269	442253660	4905943	Informed
2021-08-20	241323525	102805125	451433148	4950038	Informed
2021-08-21	246315451	104555767	460947982	4991926	Informed
2021-08-22	251344925	106269500	470534871	5029474	Informed
2021-08-23	256414000	107996280	479631301	5069075	Informed
2021-08-24	261516739	109816381	489245744	5102739	Informed
2021-08-25	266653469	111762004	498614744	5136730	Informed
